campaign_id,platform,ad_format,clicks,impressions,ctr,cpc_eur,conversions,cost_eur,date,age_group,device_type
CMP-2025-002,Meta,Story,1881571,3936180,150.0,4.96,166148,9332544.06,2025-11-08,55+,Desktop
CMP-2025-002,YouTube,Story,813876,933702,230.0,2.38,315779,1936987.06,2025-08-23,,Mobile
CMP-2025-006,Meta,Banner,2502905,4193871,180.0,4.33,2161642,10837586.15,2025-08-08,18-24,Tablet
CMP-2025-001,LinkedIn,Banner,1009000,2960635,34.08,4.61,1009010,4651506.44,2025-02-04,55+,Tablet
CMP-2025-004,TikTok,Banner,170577,4256773,4.01,3.18,123243,2711946.05,2025-01-09,35-44,Mobile
CMP-2025-005,TikTok,Carousel,1011356,2893412,34.95,5.89,658775,5956847.21,2025-01-23,35-44,Tablet
CMP-2025-004,Meta,Carousel,2696081,2840940,94.9,1.48,1948769,3990247.96,2025-02-02,45-54,Mobile
CMP-2025-003,TikTok,Story,845534,2462574,34.34,0.45,209159,380528.88,2025-07-23,55+,Desktop
CMP-2025-007,Google,Banner,153599,2125949,7.22,6.05,50096,929252.56,2025-05-20,18-24,Desktop
CMP-2025-002,YouTube,Search,1677813,3666413,45.76,5.97,810852,10016527.51,2025-07-08,55+,Desktop
CMP-2025-002,LinkedIn,Banner,445121,693995,64.14,0.72,315859,320536.63,2025-06-14,18-24,Mobile
CMP-2025-004,TikTok,Search,1240004,2751791,45.06,2.52,893630,3124776.74,2025-01-22,35-44,Tablet
CMP-2025-006,YouTube,Banner,1151569,3649545,31.55,5.15,120288,5930537.85,2025-09-20,25-34,Mobile
CMP-2025-006,TikTok,Banner,918916,1198720,76.66,0.37,70499,339972.52,2025-07-16,55+,Mobile
CMP-2025-001,LinkedIn,Carousel,943557,1288132,73.25,7.6,390084,7171027.59,2025-09-29,35-44,Desktop
CMP-2025-002,YouTube,Story,1168910,2638256,44.31,2.07,237918,2419596.29,2025-07-18,55+,Mobile
CMP-2025-003,YouTube,Carousel,1091735,2196941,49.69,5.66,449986,6179269.74,2025-03-04,25-34,Mobile
CMP-2025-007,TikTok,Banner,724174,3793008,19.09,7.2,466732,5214102.53,2025-12-30,18-24,Tablet
