DIGITAL_ADS(1)
campaign_id;platform;ad_format;clicks;impressions;ctr;cpc_eur;conversions;cost_eur;date;age_group;device_type;campaign_theme
CMP-2025-002;Meta;Story;1881571;29793;6315,4801463431;4.96;47279;9332.50;2025-11-08;55;Desktop;Urban Mobility Electrification
CMP-2025-002;YouTube;Story;813876;31149;2612,84792449196;2.38;17603;1936.01;2025-08-23;;Mobile;Urban Mobility Electrification
CMP-2025-006;Meta;Banner;2502905;51676;4843,45731093738;4.33;42570;10836.15;2025-08-08;18-24;Tablet;FinTech Expansion
CMP-2025-001;LinkedIn;Banner;1009000;24319;4149,01928533246;4.61;29497;4506.44;2025-02-04;55;Tablet;Sustainable Retail Transformation
CMP-2025-004;TikTok;Banner;170577;7684;2219,8984903696;3.18;2754;2746.05;2025-01-09;35-44;Mobile;AI-Driven Operations
CMP-2025-005;TikTok;Carousel;1011356;34934;2895,04780443121;5.89;30914;6847.21;2025-01-23;35-44;Tablet;Carbon Footprint Reduction
CMP-2025-004;Meta;Carousel;2696081;115227;2339,79969972316;1.48;76814;3247.96;2025-02-02;45-54;Mobile;AI-Driven Operations
CMP-2025-003;TikTok;Story;845534;11318;7470,70153737409;0.45;32611;3828.88;2025-07-23;55;Desktop;Marketplace Seller Growth
CMP-2025-007;Google;Banner;153599;5626;2730,16352648418;6.05;2788;9252.56;2025-05-20;18-24;Desktop;ClimateTech Awareness
CMP-2025-002;YouTube;Search;1677813;47208;3554,08617183528;5.97;24642;1527.51;2025-07-08;55;Desktop;Urban Mobility Electrification
CMP-2025-002;LinkedIn;Banner;445121;19027;2339,41766962737;0.72;15774;326.63;2025-06-14;18-24;Mobile;Urban Mobility Electrification
CMP-2025-004;TikTok;Search;1240004;13071;9486,68043760998;2.52;14930;3776.74;2025-01-22;35-44;Tablet;AI-Driven Operations
CMP-2025-006;YouTube;Banner;1151569;16568;6950,56132303235;5.15;43483;5537.85;2025-09-20;25-34;Mobile;FinTech Expansion
CMP-2025-006;TikTok;Banner;918916;19099;4811,33043614849;0.37;36977;332.52;2025-07-16;55;Mobile;FinTech Expansion
CMP-2025-001;LinkedIn;Carousel;943557;12647;7460,71795682771;7.6;37359;7027.59;2025-09-29;35-44;Desktop;Sustainable Retail Transformation
CMP-2025-002;YouTube;Story;1168910;14911;7839,2461940849;2.07;45775;2496.29;2025-07-18;55;Mobile;Urban Mobility Electrification
CMP-2025-003;YouTube;Carousel;1091735;53075;2056,9665567593;5.66;40121;6179.74;2025-03-04;25-34;Mobile;Marketplace Seller Growth
CMP-2025-007;TikTok;Banner;724174;7675;9435,49185667752;7.2;9884;5202.53;2025-12-30;18-24;Tablet;ClimateTech Awareness
CMP-2025-006;Meta;Banner;2435736;58516;4162,51281700731;7.14;34389;17376.22;2025-09-18;25-34;Mobile;FinTech Expansion
CMP-2025-003;LinkedIn;Story;1661083;78143;2125,69647953112;1.2;75144;1299.0;2025-07-08;45-54;Tablet;Marketplace Seller Growth
CMP-2025-006;YouTube;Story;180807;8430;2144,80427046263;0.62;4028;150.3;2025-07-30;45-54;Tablet;FinTech Expansion
CMP-2025-006;LinkedIn;Banner;131415;6483;2027,0708005553;7.78;3447;1403.7;2025-03-07;55;Tablet;FinTech Expansion
CMP-2025-007;Google;Video;1526418;22720;6718,38908450704;6.17;20453;94992.32;2025-09-23;25-34;Desktop;ClimateTech Awareness
