campaign_id,platform,ad_format,clicks,impressions,ctr,cpc_eur,conversions,cost_eur,date,age_group,device_type,campaign_theme
CMP-2025-002,Meta,Story,14579,381947,3.82,4.96,313,9332.50,2025-11-08,55+,Desktop,Urban Mobility Electrification
CMP-2025-002,YouTube,Story,11359,250049,4.54,2.38,511,1936.01,2025-08-23,,Mobile,Urban Mobility Electrification
CMP-2025-006,Meta,Banner,3558,207051,1.72,4.33,125,10836.15,2025-08-08,18-24,Tablet,FinTech Expansion
CMP-2025-001,LinkedIn,Banner,18165,736001,2.47,4.61,356,4506.44,2025-02-04,55+,Tablet,Sustainable Retail Transformation
CMP-2025-004,TikTok,Banner,5063,184242,2.75,3.18,124,2746.05,2025-01-09,35-44,Mobile,AI-Driven Operations
CMP-2025-005,TikTok,Carousel,33725,896104,3.76,5.89,460,6847.21,2025-01-23,35-44,Tablet,Carbon Footprint Reduction
CMP-2025-004,Meta,Carousel,12691,364366,3.48,1.48,251,3247.96,2025-02-02,45-54,Mobile,AI-Driven Operations
CMP-2025-003,TikTok,Story,15092,756943,1.99,0.45,488,3828.88,2025-07-23,55+,Desktop,Marketplace Seller Growth
CMP-2025-007,Google,Banner,13441,331454,4.06,6.05,526,9252.56,2025-05-20,18-24,Desktop,ClimateTech Awareness
CMP-2025-002,YouTube,Search,3495,107128,3.26,5.97,36,1527.51,2025-07-08,55+,Desktop,Urban Mobility Electrification
CMP-2025-002,LinkedIn,Banner,13343,298299,4.47,0.72,657,326.63,2025-06-14,18-24,Mobile,Urban Mobility Electrification
CMP-2025-004,TikTok,Search,5437,166892,3.26,2.52,176,3776.74,2025-01-22,35-44,Tablet,AI-Driven Operations
CMP-2025-006,YouTube,Banner,13042,903935,1.44,5.15,447,5537.85,2025-09-20,25-34,Mobile,FinTech Expansion
CMP-2025-006,TikTok,Banner,14727,966137,1.52,0.37,321,332.52,2025-07-16,55+,Mobile,FinTech Expansion
CMP-2025-001,LinkedIn,Carousel,32758,976871,3.35,7.6,636,7027.59,2025-09-29,35-44,Desktop,Sustainable Retail Transformation
CMP-2025-002,YouTube,Story,21448,621262,3.45,2.07,1028,2496.29,2025-07-18,55+,Mobile,Urban Mobility Electrification
CMP-2025-003,YouTube,Carousel,20697,432349,4.79,5.66,862,6179.74,2025-03-04,25-34,Mobile,Marketplace Seller Growth
CMP-2025-007,TikTok,Banner,29556,980899,3.01,7.2,850,5202.53,2025-12-30,18-24,Tablet,ClimateTech Awareness
CMP-2025-006,Meta,Banner,19970,681521,2.93,7.14,905,17376.22,2025-09-18,25-34,Mobile,FinTech Expansion
CMP-2025-003,LinkedIn,Story,29770,639173,4.66,1.2,1217,1299.0,2025-07-08,45-54,Tablet,Marketplace Seller Growth
CMP-2025-006,YouTube,Story,38547,865268,4.45,0.62,1840,150.3,2025-07-30,45-54,Tablet,FinTech Expansion
CMP-2025-006,LinkedIn,Banner,12239,817316,1.5,7.78,412,1403.7,2025-03-07,55+,Tablet,FinTech Expansion
CMP-2025-007,Google,Video,24520,523643,4.68,6.17,806,94992.32,2025-09-23,25-34,Desktop,ClimateTech Awareness
CMP-2025-005,TikTok,Video,11355,262945,4.32,2.65,558,9010.1,2025-05-09,25-34,Tablet,Carbon Footprint Reduction
CMP-2025-001,LinkedIn,Carousel,30856,884425,3.49,1.09,363,2578.11,2025-10-31,55+,Mobile,Sustainable Retail Transformation
CMP-2025-005,Google,Video,24649,518017,4.76,5.03,722,6942.65,2025-02-11,18-24,Tablet,Carbon Footprint Reduction
CMP-2025-001,YouTube,Story,16821,647346,2.6,5.24,454,11309.61,2025-05-29,35-44,Desktop,Sustainable Retail Transformation
