campaign_id,platform,post_type,likes,shares,comments,impressions,engagement_rate,post_date,age_group,campaign_theme
CMP-2025-001,Instagram,Video,-10,15739,3271,2622821,3.72,2025-03-29,35-44,Sustainable Retail Transformation
CMP-2025-007,LinkedIn,Carousel,-25,3784,5052,344664,20.57,2025-09-08,35-44,ClimateTech Awareness
CMP-2025-002,TikTok,Carousel,-5,17829,6349,383255,28.26,2025-07-09,25-34,Urban Mobility Electrification
CMP-2025-004,TikTok,Video,-100,8627,7204,1870717,1.16,2025-05-18,55+,AI-Driven Operations
CMP-2025-006,TikTok,Story,-1,3168,1404,259534,9.39,2025-07-31,55+,FinTech Expansion
CMP-2025-007,X,Carousel,72561,1998,6342,955257,150.0,2025-10-02,45-54,ClimateTech Awareness
CMP-2025-001,LinkedIn,Image,30886,15606,4896,2403137,220.0,2025-09-15,55+,Sustainable Retail Transformation
CMP-2025-007,LinkedIn,Video,74905,4831,1970,2168689,175.0,2025-03-27,25-34,ClimateTech Awareness
CMP-2025-001,LinkedIn,Video,16539,1398,6936,809351,3.07,2025-11-18,25-34,Sustainable Retail Transformation
CMP-2025-001,LinkedIn,Story,33801,10477,1097,2496810,1.82,2025-07-23,55+,Sustainable Retail Transformation
CMP-2025-007,Instagram,Story,36202,17029,7506,1368874,4.44,2025-10-28,55+,ClimateTech Awareness
CMP-2025-002,X,Story,14748,13580,2451,1760904,1.75,2025-10-26,18-24,Urban Mobility Electrification
CMP-2025-007,X,Reel,73752,3309,4687,444064,18.41,2025-07-30,35-44,ClimateTech Awareness
CMP-2025-005,LinkedIn,Image,85824,15911,9372,1607600,6.91,2025-03-30,35-44,Carbon Footprint Reduction
CMP-2025-001,LinkedIn,Reel,18855,19944,6581,1691195,2.68,2025-12-20,,Sustainable Retail Transformation
CMP-2025-003,Instagram,Reel,97746,15571,4400,207741,56.67,2025-06-05,35-44,Marketplace Seller Growth
CMP-2025-002,TikTok,Carousel,64437,3218,3734,1176859,6.07,2025-06-14,35-44,Urban Mobility Electrification
CMP-2025-004,Facebook,Carousel,79295,2925,3079,1749071,4.88,2025-09-06,55+,AI-Driven Operations
CMP-2025-001,TikTok,Story,7367,16884,2604,1569293,1.71,2025-07-26,25-34,Sustainable Retail Transformation
CMP-2025-002,Facebook,Image,74537,948,2846,2200015,3.56,2025-05-08,18-24,Urban Mobility Electrification
CMP-2025-003,TikTok,Carousel,6626,11808,3262,1915484,1.13,2025-09-16,,Marketplace Seller Growth
CMP-2025-003,LinkedIn,Story,16236,1001,3963,2666101,0.8,2025-08-17,,Marketplace Seller Growth
CMP-2025-003,Facebook,Reel,76923,18066,5730,1991542,5.06,2025-12-19,18-24,Marketplace Seller Growth
CMP-2025-002,X,Video,3597,12666,813,1196667,1.43,2025-04-24,25-34,Urban Mobility Electrification
CMP-2025-005,Instagram,Image,27096,8817,6709,2843459,1.5,2025-08-31,25-34,Carbon Footprint Reduction
CMP-2025-002,TikTok,Story,22701,19698,138,2716273,1.57,2025-06-06,35-44,Urban Mobility Electrification
CMP-2025-003,Facebook,Carousel,49345,11426,7520,1778574,3.84,2025-06-04,55+,Marketplace Seller Growth
CMP-2025-001,X,Reel,52055,19152,1676,2616593,2.79,2025-10-15,55+,Sustainable Retail Transformation
CMP-2025-004,Instagram,Reel,37051,9780,1771,2555541,1.9,2025-05-22,35-44,AI-Driven Operations
CMP-2025-002,X,Video,34229,9790,3086,1162339,4.05,2025-01-30,55+,Urban Mobility Electrification
CMP-2025-006,Instagram,Carousel,86577,10472,2292,1695911,5.86,2025-06-01,35-44,FinTech Expansion
CMP-2025-005,X,Video,53031,12722,578,1756591,3.78,2025-06-25,25-34,Carbon Footprint Reduction
CMP-2025-005,TikTok,Video,70075,15588,5873,2879626,3.18,2025-12-03,55+,Carbon Footprint Reduction
CMP-2025-002,TikTok,Story,38506,3198,7713,760738,6.5,2025-04-04,35-44,Urban Mobility Electrification
CMP-2025-002,TikTok,Carousel,11704,7282,5820,2745897,0.9,2025-06-19,35-44,Urban Mobility Electrification
CMP-2025-007,Instagram,Carousel,76751,9635,7598,1093864,8.59,2025-01-28,55+,ClimateTech Awareness
CMP-2025-002,X,Image,81350,2333,7736,2435009,3.75,2025-12-15,45-54,Urban Mobility Electrification
CMP-2025-007,Facebook,Video,39106,13536,885,2223303,2.41,2025-04-13,35-44,ClimateTech Awareness
CMP-2025-003,Facebook,Image,74632,14993,2346,1717274,5.36,2025-09-07,35-44,Marketplace Seller Growth
CMP-2025-001,LinkedIn,Reel,23176,10269,950,2647743,1.3,2025-04-18,25-34,Sustainable Retail Transformation
CMP-2025-002,X,Carousel,20766,16042,1442,2418088,1.58,2025-11-21,45-54,Urban Mobility Electrification
CMP-2025-001,Instagram,Story,56233,15643,6280,1692954,4.62,2025-04-13,35-44,Sustainable Retail Transformation
CMP-2025-001,Instagram,Video,42233,17400,3122,60043,104.52,2025-04-26,35-44,Sustainable Retail Transformation
CMP-2025-005,X,Reel,16899,3365,6284,1310009,2.03,2025-03-27,18-24,Carbon Footprint Reduction
CMP-2025-006,X,Story,39085,9529,7469,192756,29.1,2025-09-26,35-44,FinTech Expansion
CMP-2025-004,TikTok,Video,90017,4384,5615,1819923,5.5,2025-03-26,45-54,AI-Driven Operations
CMP-2025-002,Instagram,Story,29939,7350,2149,81214,48.56,2025-09-16,25-34,Urban Mobility Electrification
CMP-2025-006,TikTok,Story,48049,1224,6147,517578,10.71,2025-11-16,18-24,FinTech Expansion
CMP-2025-001,Instagram,Carousel,6286,3542,323,2492098,0.41,2025-08-16,,Sustainable Retail Transformation
CMP-2025-006,Facebook,Video,71733,8281,7772,519395,16.9,2025-12-22,18-24,FinTech Expansion
CMP-2025-003,X,Story,55164,3308,8524,1263973,5.3,2025-12-25,25-34,Marketplace Seller Growth
CMP-2025-003,Instagram,Image,13751,16763,1928,1757682,1.85,2025-09-12,25-34,Marketplace Seller Growth
CMP-2025-002,TikTok,Carousel,26181,8617,8571,2555338,1.7,2025-06-01,25-34,Urban Mobility Electrification
CMP-2025-006,LinkedIn,Reel,71845,16264,3402,166279,55.03,2025-05-01,18-24,FinTech Expansion
CMP-2025-007,X,Carousel,88032,2916,1809,54474,170.28,2025-03-18,18-24,ClimateTech Awareness
CMP-2025-006,Facebook,Carousel,9836,3319,4192,2147247,0.81,2025-06-01,35-44,FinTech Expansion
CMP-2025-007,Instagram,Reel,6564,3270,2862,1948320,0.65,2025-07-04,35-44,ClimateTech Awareness
CMP-2025-007,Instagram,Image,96801,3797,1556,1787753,5.71,2025-03-12,,ClimateTech Awareness
CMP-2025-006,Instagram,Reel,46861,14343,4395,1379503,4.76,2025-06-25,,FinTech Expansion
CMP-2025-003,LinkedIn,Carousel,52530,13115,7479,478446,15.28,2025-08-04,25-34,Marketplace Seller Growth
CMP-2025-001,LinkedIn,Story,17368,1921,2611,475193,4.61,2025-09-05,55+,Sustainable Retail Transformation
CMP-2025-007,TikTok,Story,57430,5939,6221,2846387,2.44,2025-01-15,25-34,ClimateTech Awareness
CMP-2025-004,Instagram,Image,63979,3700,6738,2027182,3.67,2025-05-14,35-44,AI-Driven Operations
CMP-2025-006,X,Video,92349,17197,9447,52842,225.19,2025-12-09,35-44,FinTech Expansion
CMP-2025-006,Facebook,Carousel,68564,3120,7091,2178261,3.62,2025-06-27,45-54,FinTech Expansion
CMP-2025-006,Facebook,Story,73183,1788,190,624501,12.04,2025-08-29,45-54,FinTech Expansion
CMP-2025-002,TikTok,Reel,9812,16110,5253,694754,4.49,2025-01-26,55+,Urban Mobility Electrification
CMP-2025-007,Facebook,Image,72154,12407,6607,935098,9.75,2025-08-24,45-54,ClimateTech Awareness
CMP-2025-004,TikTok,Image,58733,2884,8166,2404482,2.9,2025-09-12,18-24,AI-Driven Operations
CMP-2025-005,X,Image,52879,13511,587,431517,15.52,2025-02-16,55+,Carbon Footprint Reduction
CMP-2025-005,Facebook,Carousel,83563,9981,8328,2597551,3.92,2025-06-24,35-44,Carbon Footprint Reduction
CMP-2025-005,X,Story,29218,14891,5439,228646,21.67,2025-08-31,35-44,Carbon Footprint Reduction
CMP-2025-001,TikTok,Reel,14945,3192,3633,1899058,1.15,2025-11-21,35-44,Sustainable Retail Transformation
CMP-2025-001,Facebook,Carousel,68417,12251,1741,2298180,3.59,2025-03-13,45-54,Sustainable Retail Transformation
CMP-2025-001,LinkedIn,Video,33330,6419,3072,449629,9.52,2025-08-23,25-34,Sustainable Retail Transformation
CMP-2025-006,X,Image,14125,13581,761,1418396,2.01,2025-08-19,45-54,FinTech Expansion
CMP-2025-004,Instagram,Story,77242,16521,2205,2762767,3.47,2025-01-25,55+,AI-Driven Operations
CMP-2025-007,Facebook,Story,76692,15824,8328,1816338,5.55,2025-03-30,25-34,ClimateTech Awareness
CMP-2025-003,X,Carousel,50778,19678,9931,435336,18.47,2025-08-03,55+,Marketplace Seller Growth
CMP-2025-004,TikTok,Reel,99925,8134,4482,2905620,3.87,2025-08-20,25-34,AI-Driven Operations
CMP-2025-003,X,Reel,54099,19743,8393,580568,14.16,2025-12-31,55+,Marketplace Seller Growth
CMP-2025-005,TikTok,Reel,28487,6582,3435,2654246,1.45,2025-12-11,25-34,Carbon Footprint Reduction
CMP-2025-005,TikTok,Image,85208,5826,8255,2980618,3.33,2025-06-30,55+,Carbon Footprint Reduction
CMP-2025-006,X,Reel,76389,18698,6839,2015817,5.06,2025-08-05,18-24,FinTech Expansion
CMP-2025-002,Instagram,Image,13955,828,6240,2193488,0.96,2025-04-13,35-44,Urban Mobility Electrification
CMP-2025-007,Instagram,Reel,37567,8210,2399,676011,7.13,2025-04-15,55+,ClimateTech Awareness
CMP-2025-005,X,Video,47013,14830,1679,136502,46.54,2025-11-28,55+,Carbon Footprint Reduction
CMP-2025-006,Instagram,Carousel,31142,16741,4712,1632108,3.22,2025-07-18,45-54,FinTech Expansion
CMP-2025-001,TikTok,Video,40980,18092,881,2874722,2.09,2025-11-14,,Sustainable Retail Transformation
CMP-2025-005,X,Video,83071,12050,9640,947018,11.06,2025-04-10,35-44,Carbon Footprint Reduction
CMP-2025-002,X,Image,23255,2440,3063,1883466,1.53,2025-07-13,18-24,Urban Mobility Electrification
CMP-2025-002,Facebook,Story,36583,18238,4329,1798292,3.29,2025-05-11,18-24,Urban Mobility Electrification
CMP-2025-002,TikTok,Story,61122,5072,654,1387480,4.82,2025-01-27,55+,Urban Mobility Electrification
CMP-2025-005,TikTok,Image,39472,16074,9382,2777168,2.34,2025-12-29,35-44,Carbon Footprint Reduction
CMP-2025-001,X,Video,28830,6025,8529,2204666,1.97,2025-08-01,55+,Sustainable Retail Transformation
CMP-2025-002,Facebook,Reel,52876,3012,5724,2253492,2.73,2025-06-19,35-44,Urban Mobility Electrification
CMP-2025-005,Instagram,Image,28632,17383,7780,1232340,4.37,2025-12-09,35-44,Carbon Footprint Reduction
CMP-2025-006,TikTok,Carousel,31502,7989,653,1870263,2.15,2025-02-28,45-54,FinTech Expansion
CMP-2025-005,TikTok,Story,70809,9267,404,1077218,7.47,2025-09-18,45-54,Carbon Footprint Reduction
