campaign_id,channel,station_name,program_name,timeslot,spot_duration_sec,impressions,reach_pct,frequency,cost_eur,broadcast_date,region
CMP-2025-001,Radio,Station_4,Program_8,Afternoon,57,2000000,10.63,12,500,2025-10-07,NL-North
CMP-2025-001,TV,Station_2,Program_7,Afternoon,42,1243352,57.59,9,111104,2025-04-12,DE-Berlin
CMP-2025-005,Radio,Station_13,Program_28,Morning,58,467297,76.75,12,118257,2025-08-05,BE-Flanders
CMP-2025-002,Radio,Station_2,Program_3,Night,16,587738,34.74,6,41258,2025-11-06,BE-Flanders
CMP-2025-006,Radio,Station_9,Program_4,Night,15,1697670,52.89,11,11890,2025-11-13,BE-Flanders
CMP-2025-006,TV,Station_1,Program_22,Afternoon,59,1215795,28.2,2,50907,2025-04-30,NL-North
CMP-2025-004,Radio,Station_3,Program_12,Evening,23,802182,64.0,12,73369,2025-12-16,NL-North
CMP-2025-005,TV,Station_3,Program_15,Night,27,1282440,94.02,11,45362,2025-12-19,NL-South
CMP-2025-007,TV,Station_4,Program_27,Morning,30,1440740,38.71,2,85508,2025-04-19,BE-Flanders
CMP-2025-004,Radio,Station_3,Program_9,Afternoon,25,450910,71.03,9,131370,2025-05-15,DE-Berlin
CMP-2025-003,TV,Station_3,Program_17,Night,15,1887871,72.04,2,105200,2025-03-20,NL-South
CMP-2025-005,TV,Station_7,Program_13,Night,43,1666110,24.63,9,111166,2025-01-06,NL-North
CMP-2025-007,Radio,Station_13,Program_21,Evening,17,1434650,28.59,3,141263,2025-08-21,NL-North
CMP-2025-005,TV,Station_9,Program_30,Morning,50,1519336,29.05,11,69545,2025-09-17,NL-South
CMP-2025-007,TV,Station_9,,Morning,48,325527,31.47,1,98519,2025-02-27,BE-Flanders
CMP-2025-002,TV,Station_4,Program_29,Morning,15,1847813,69.8,2,81112,2025-09-30,NL-South
CMP-2025-005,TV,Station_5,Program_17,Night,23,274256,88.32,12,125092,2025-12-20,NL-South
CMP-2025-004,Radio,Station_8,Program_29,Night,17,1500162,24.3,2,82214,2025-06-23,NL-North
CMP-2025-002,TV,Station_1,Program_3,Morning,24,1238772,7.34,1,145707,2025-06-19,NL-North
CMP-2025-003,Radio,Station_4,Program_18,Afternoon,56,1083263,88.94,10,62891,2025-10-23,DE-Berlin
